berg-south,53.367100,-112.966567
fairbrother-corner,53.307550,-112.928100
few,53.366850,-113.001667
mandy-lake-road,53.308800,-113.001400
misasin,53.357183,-112.928100
stove-lake,53.336467,-112.927883
uofa-road,53.366900,-112.965067
wildland-meadows,53.323150,-113.062000
joseph-lake,53.308567,-113.055283
north-miquelon,53.273333,-112.928167
sledders-lot,53.366867,-112.994383
site-33,53.345100,-113.074317
